problem_id,single_correct,voting_correct
dataset2_01,False,False
dataset2_02,False,False
dataset2_03,False,False
dataset2_04,False,True
dataset2_05,False,False
dataset2_06,True,True
dataset2_07,False,True
dataset2_08,False,True
dataset2_09,False,False
dataset2_10,False,True
dataset2_11,False,True
dataset2_12,True,True
dataset2_13,True,True
medium_01,True,True
medium_02,True,True
medium_03,True,True
medium_04,True,True
medium_05,False,False
medium_06,False,False
medium_07,False,False
medium_08,False,False
medium_09,False,False
medium_10,False,False
medium_11,False,False
medium_12,False,False
medium_13,False,False
medium_14,False,True
