problem_id,final_correct,consensus_initial,consensus_refined,improved,any_initial_correct,any_refined_correct,refinement_hurt,judge_missed_best,winner
dataset2_01,False,False,False,False,False,False,False,False,solver_3
dataset2_02,False,False,False,False,False,False,False,False,solver_3
dataset2_03,False,False,False,False,False,False,False,False,solver_3
dataset2_04,True,False,True,True,True,True,False,False,solver_1
dataset2_05,False,False,False,False,False,False,False,False,solver_3
dataset2_06,True,True,True,False,True,True,False,False,solver_2
dataset2_07,True,False,True,True,True,True,False,False,solver_3
dataset2_08,True,False,False,True,False,True,False,False,solver_3
dataset2_09,False,False,False,False,True,True,False,True,solver_2
dataset2_10,True,False,True,True,True,True,False,False,solver_1
dataset2_11,True,False,True,True,True,True,False,False,solver_3
dataset2_12,True,False,False,True,True,True,True,False,solver_1
dataset2_13,True,True,True,False,True,True,False,False,solver_2
medium_01,True,False,False,False,True,True,False,False,solver_3
medium_02,True,False,True,True,True,True,False,False,solver_1
medium_03,True,False,False,False,True,False,True,False,solver_2
medium_04,True,False,True,True,True,True,False,False,solver_3
medium_05,True,False,False,False,True,True,False,False,solver_3
medium_06,True,False,False,False,True,True,True,False,solver_2
medium_07,False,False,False,False,False,False,False,False,solver_1
medium_08,False,False,False,False,False,False,False,False,solver_3
medium_09,False,False,False,False,False,False,False,False,solver_3
medium_10,False,False,False,False,False,False,False,False,solver_2
medium_11,True,False,False,False,True,True,False,False,solver_3
medium_12,False,False,False,False,True,False,True,False,solver_2
medium_13,False,False,False,False,True,False,True,False,solver_3
medium_14,False,False,False,False,True,True,False,True,solver_3
